Date,Bergen County,Middlesex County,Essex County,Hudson County,Monmouth County,Ocean County,Union County,Camden County,Passaic County,Morris County,Burlington County,Mercer County,Somerset County,Gloucester County,Atlantic County,Cumberland County,Sussex County,Hunterdon County,Warren County,Cape May County,Salem County
9/30/2005,473265.3496,365564.2419,390156.1662,375277.1526,412547.6294,315042.7087,401709.5568,191851.988,358697.8499,463633.5748,256875.341,291151.3046,456638.4305,227402.005,237708.0794,158031.6095,302660.9235,457921.6,314289.2155,404395.6925,158259.2099
10/31/2005,477988.268,369071.8141,395475.8862,381491.9727,416187.2903,317996.6265,406669.465,194231.2403,363351.1795,467646.0061,259721.0138,294366.082,460502.288,230019.452,241626.3412,160879.8616,305772.2257,462193.2387,317323.6433,410251.077,160180.5884
11/30/2005,482942.7185,372698.1756,400317.3558,387073.1226,419794.2786,320671.5345,411830.9365,196348.6717,367784.6471,471531.5069,262751.774,296867.7293,464674.8316,232087.6775,245051.8418,163281.5276,308169.2872,466010.4783,320425.3931,415930.4235,162111.157
12/31/2005,486918.2599,376273.7023,404230.0767,391271.5922,423053.9048,323719.1473,416613.186,198642.6633,371780.6959,475169.6457,265837.2902,299370.3653,468091.2767,233642.8817,248612.8433,165674.8282,310601.46,468693.4106,323643.1145,421115.8758,164350.7178
1/31/2006,490129.5427,379031.5351,407395.8332,395570.531,426223.1356,326744.8973,421083.4129,200682.4631,374289.3754,478623.5268,268122.0658,301612.7045,469776.6358,235434.865,251846.7112,167946.0204,312313.9781,470625.9724,326553.6825,426112.9333,166495.6302
2/28/2006,493490.2099,381621.188,410472.0835,400183.7405,429376.582,329601.4129,423691.0688,203018.0538,376397.7191,482486.6273,269934.0571,304058.2446,470693.1143,237465.9957,254345.7626,169896.7698,314584.941,472986.8513,329146.8168,430509.3425,168772.1108
3/31/2006,497726.8661,384302.4262,413259.1311,404837.3675,431723.7612,332226.9437,424944.0657,205230.693,378789.5379,486540.0169,272112.0046,306523.2303,471954.5149,239607.6794,257184.6536,171263.8131,317396.3933,475317.6462,331194.4519,434407.5569,170756.2406
4/30/2006,501028.3075,387471.6063,417062.8765,409885.456,434480.75,334783.9076,426734.7585,207350.9709,381869.1185,490154.1281,274856.4631,308948.9118,474684.6489,241679.0789,260254.7548,173160.6714,320551.5293,477950.0441,333233.2012,437916.0255,172943.0193
5/31/2006,503139.4877,389742.7655,420846.2898,414554.594,437302.586,337231.5378,430180.3234,209792.3849,385371.8495,492714.4664,277602.3013,311380.6603,477460.8939,243516.4387,263677.6085,175109.1993,323437.4708,480016.2799,335418.446,440766.3279,175321.0778
6/30/2006,504096.7203,391446.2325,424199.3004,419426.9383,440292.034,339420.0083,434876.2263,211878.4843,388404.783,494032.2978,279607.0672,313487.8466,479696.2827,245787.5787,266348.8197,177761.0634,325986.423,482648.1083,337907.3028,442814.7164,178012.0424
