Date,Bergen County,Middlesex County,Essex County,Hudson County,Monmouth County,Ocean County,Union County,Camden County,Passaic County,Morris County,Burlington County,Mercer County,Somerset County,Gloucester County,Atlantic County,Cumberland County,Sussex County,Hunterdon County,Warren County,Cape May County,Salem County
10/31/2004,381904.512,296678.2469,317768.2952,271970.7224,350228.1706,270715.6106,328646.9145,155911.9224,300001.0339,394237.0296,220779.3316,240810.0907,391870.7031,189667.6828,183517.911,117954.19,260946.0919,380703.9363,266215.8057,301550.6489,118799.8914
11/30/2004,387038.2462,299658.7555,322301.2415,274906.4973,354876.4558,274400.8981,331510.0624,157911.3939,303090.878,397505.2894,222956.4289,244261.8666,396892.2721,192506.777,186402.8992,119690.4656,263332.8605,384375.14,268964.6197,306983.9671,119936.4201
12/31/2004,391984.5177,302531.6816,326303.7721,278849.6815,358980.1037,277803.4461,334920.1078,159451.6112,305938.4453,400118.2317,225382.7877,247151.5413,400275.3653,195554.7916,188943.4248,121125.3919,265607.3502,388958.9382,271927.0908,312069.3643,121007.4635
1/31/2005,396041.4503,305803.9889,330433.7232,283552.345,362890.4419,280892.706,338120.7655,160939.8495,308588.2007,402967.0289,227797.6383,249971.2582,402682.8242,197866.0175,191525.2632,123155.1087,268176.0701,392115.7725,274904.2335,314885.0332,121973.8074
2/28/2005,400080.342,308749.462,334296.3639,288753.8322,366014.6149,283389.0748,341244.2841,162551.5869,311259.1067,404617.4677,230112.0168,252354.3948,406898.5688,199911.069,193897.5246,125022.0072,270435.1894,395203.5439,277987.7372,318473.0801,122700.3869
3/31/2005,403988.2395,311682.0937,338100.107,293283.867,369608.0133,286500.309,345492.9698,164340.513,313946.6701,406134.7736,232424.7089,254711.1991,410982.6239,201346.0435,196090.5576,126822.1831,272774.7824,397766.7885,280955.5976,322295.2947,123597.7875
4/30/2005,408645.5278,315381.252,341530.0446,297879.2851,374061.3453,290025.3831,350310.343,165988.8912,317087.0723,409354.063,235027.4659,256844.1814,415385.4737,203115.913,198797.009,128413.1032,275198.8958,401335.0698,283581.0263,326898.846,125461.3785
5/31/2005,413348.1253,319861.5776,344592.3387,302285.9391,378681.2109,294039.989,355142.4239,167987.446,320740.4279,415091.0831,237896.9227,259437.2818,418960.1191,205300.3783,201894.9888,130233.4592,278338.4689,405280.7191,286048.2856,331612.5546,128260.6461
6/30/2005,418663.4352,324686.5258,348095.6926,307234.5336,383149.381,297837.0412,359082.2471,170231.889,324896.1676,421660.3931,241050.9521,262364.875,423124.6214,207950.1971,205484.3995,132000.7735,281676.0634,409551.7685,288292.0727,336701.5935,131582.9111
7/31/2005,423725.4371,329176.3667,351505.975,312459.3576,386886.285,300983.1302,362604.182,172921.1436,328850.6826,426686.4607,244339.3617,265916.6147,427702.829,211343.44,209191.7922,134028.7204,285065.3776,414372.5049,290864.7799,341740.0349,134511.2423
8/31/2005,428379.2438,333400.5318,355644.8045,317927.2865,390094.4089,304249.7786,367075.6917,175274.7685,332696.0814,430971.0459,247719.0317,269529.8371,431633.7513,214575.3779,213168.7901,136641.1491,288499.0045,419386.9968,293548.3591,346633.8175,137059.8462
9/30/2005,432572.554,336967.4761,360263.1477,323704.5484,393703.7976,306952.3241,371682.638,177483.9787,336363.3605,434821.7595,250552.4008,273050.6883,435416.5974,217705.8768,216942.7921,139449.2423,291340.191,423849.5979,296317.4326,351517.4426,139210.4744
